"annotation_id","annotator","comment","commonsense","created_at","id","lead_time","platform","sarcasm","sentiment","updated_at","video_core_content","video_highlight","video_id","video_target_sentiment","video_title","video_url"
1,"1","bọn chúng bạn nghỉ ngơi là mình ăn được ches đầy à kế hoạch ăn 2 vẫn còn nguyên đối với vua châu âu lúc này","'Ches' là cách viết sai chính tả của từ 'chess' (cờ vua), nhưng trong ngữ cảnh này là lỗi gõ của từ 'chén' (ăn uống). 'Ăn 2' là thuật ngữ bóng đá chỉ việc giành được hai danh hiệu lớn trong cùng một mùa giải. 'Vua châu Âu' thường chỉ các đội bóng mạnh như Real Madrid, Bayern Munich hoặc Manchester City.","2026-05-30T03:19:47.652179Z",1,8.67,"youtube","Không mỉa mai","Trung lập","2026-05-30T03:19:47.652196Z","Diễn biến toàn bộ trận đấu bóng đá kịch tính giữa Arsenal và Bournemouth. Arsenal (đội cửa trên) được kỳ vọng sẽ giành chiến thắng dễ dàng nhưng đã vấp phải sự kháng cự mãnh liệt và suýt bị cầm hòa hoặc thua, gây tâm lý căng thẳng tột độ cho người hâm mộ trước khi có màn lội ngược dòng may mắn. Arsenal kiểm soát hoàn toàn thế trận trong hiệp 1, dồn ép đối thủ và nhanh chóng có bàn thắng vươn lên dẫn trước nhờ sự áp đảo của hàng công. Bournemouth bất ngờ vùng lên mạnh mẽ vào đầu hiệp 2, khai thác các lỗ hổng phòng ngự bất cẩn của Arsenal để ghi bàn gỡ hòa khiến thế trận đảo chiều. Trận đấu được đẩy lên đỉnh điểm với một pha thổi penalty đầy tranh cãi từ trọng tài, tạo ra làn sóng phản đối dữ dội từ ban huấn luyện và cầu thủ Arsenal. Những phút bù giờ cuối cùng đầy nghẹt thở, Arsenal ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật, giải tỏa áp lực nhưng để lại nhiều hoài nghi về phong độ phòng ngự.","Những sai lầm phòng ngự của Arsenal, pha penalty gây tranh cãi và cú lội ngược dòng đầy may mắn/khó khăn của đội chủ nhà.","5Augh75jX6g","negative","HIGHLIGHTS: ARSENAL - BOURNEMOUTH","https://www.youtube.com/watch?v=5Augh75jX6g"
2,"1","dương em không có vậy","'Dương em không có vậy' là cách nói phủ định rằng người được gọi là 'em' (có thể là người yêu hoặc bạn gái) không có những biểu hiện cảm xúc hay hành động như trong video. 'Dương' ở đây là tên riêng hoặc biệt danh của một người nào đó. Video sử dụng meme mèo để minh họa sự thay đổi tâm trạng của nhân vật 'ẻm' trong mối quan hệ lâu dài.","2026-05-30T03:20:08.271072Z",2,9.957,"tiktok","Không mỉa mai","Trung lập","2026-05-30T03:20:08.271090Z","Video sử dụng các meme mèo được cắt ghép trên nền bối cảnh ban công để mô tả những trạng thái cảm xúc thay đổi của một cô gái trong mối quan hệ lâu dài. Một nhân vật mèo đại diện cho “tôi” đứng khá tĩnh, trong khi nhân vật mèo còn lại đại diện cho “ẻm” thay đổi liên tục qua nhiều biểu cảm và hành động. Text overlay mở đầu bằng câu “Pov: Quen nhau đủ lâu để thấy đủ nhân cách của em”, sau đó là các câu thoại như “A có iu pe hăm?”, “Đêm nay anh là của tôiiii”, “Hình như anh hết thương em rùi!” và “Biến đi thằng choá”. Video không có người thật xuất hiện, toàn bộ diễn biến dựa trên hình mèo, text và hiệu ứng âm thanh. Âm thanh thay đổi theo từng phân cảnh, gồm tiếng cười, tiếng khóc, âm thanh trẻ con và các hiệu ứng hành động ở đoạn cuối.","Meme mèo trên nền ban công; nhân vật “tôi” đứng yên còn nhân vật “ẻm” thay đổi liên tục; text overlay dùng teencode và câu thoại tình cảm; hiệu ứng âm thanh chuyển nhanh theo từng trạng thái.","7628876598191623432","positive","Là sao nữaaa. ...","https://www.tiktok.com/@bbs.house/video/7628876598191623432?is_from_webapp=1"
3,"1","đổi ngược lại tôi nhắn nhiều hơn :red_heart:","Cụm từ 'đổi ngược lại' ở đây chỉ mong muốn thay đổi vai trò trong cuộc trò chuyện, ví dụ như người bình luận muốn trở thành người chủ động gửi tin nhắn nhiều hơn trong mối quan hệ.","2026-05-30T03:20:41.219604Z",3,6.725,"tiktok","Không mỉa mai","Trung lập","2026-05-30T03:20:57.304503Z","Video ghi lại màn hình cuộc trò chuyện Messenger đã được làm mờ và cuộn chậm từ dưới lên, tạo cảm giác người xem đang nhìn lại những đoạn tin nhắn cũ. Không có nhân vật xuất hiện trực tiếp trong video; phần hình ảnh chỉ gồm các bong bóng chat xanh trắng bị làm mờ và chuyển động nhẹ theo thao tác cuộn. Text overlay ở phía trên ghi “Pov : bạn quay lại thời gian anh ấy yêu bạn nhất”, còn giữa màn hình có dòng “iloveusomuch.”. Âm thanh là một ca khúc ballad Trung Quốc có giai điệu chậm, tạo không khí hoài niệm và tiếc nuối. Tổng thể video tập trung vào cảm giác nhớ lại một giai đoạn tình cảm đã qua.","Giao diện Messenger bị làm mờ; thao tác cuộn tin nhắn cũ; text POV về việc quay lại thời điểm được yêu thương; nhạc nền ballad chậm và buồn.","7625986583996402965","negative","..","https://www.tiktok.com/@deomamay275/video/7625986583996402965?is_from_webapp=1"
4,"1","dễ hiểu với","Cụm từ 'dễ hiểu với' là cách nói rút gọn của 'dễ hiểu với những ai đã từng trải qua'. Picasso có cuộc đời tình cảm phức tạp với nhiều mối quan hệ và scandal, được nhiều người coi là trải nghiệm khó hiểu nếu chưa từng trải qua.","2026-05-30T03:23:01.147877Z",4,119.168,"youtube","Không mỉa mai","Tích cực","2026-05-30T03:23:01.147913Z","Video hoạt hình vẽ tay mang phong cách hài hước và châm biếm, kể về cuộc đời, sự nghiệp nghệ thuật vĩ đại đan xen với cuộc sống tình cảm vô cùng phức tạp, đào hoa và đầy scandal của danh họa người Tây Ban Nha Pablo Picasso. Giới thiệu xuất thân, thời thơ ấu và tài năng hội họa thiên bẩm bộc lộ từ rất sớm của Picasso, tạo tiền đề cho hành trình trở thành danh họa thế giới. Quá trình sáng tạo nghệ thuật qua các thời kỳ mang tính bước ngoặt lịch sử: Thời kỳ Xanh lam (Blue Period), Thời kỳ Hoa hồng (Rose Period) và đỉnh cao là việc đồng sáng lập trường phái Lập thể (Cubism). Đi sâu vào góc khuất đời tư, thói trăng hoa 'thay người yêu như thay áo', các mối quan hệ tình cảm phức tạp và những vụ bê bối 'cắm sừng' chấn động của ông. Tóm tắt di sản nghệ thuật khổng lồ nhưng đầy tranh cãi của Picasso, cùng góc nhìn mỉa mai của hậu thế về sự tương phản lớn giữa tài năng kiệt xuất và nhân cách đời tư.","Giải thích về trường phái lập thể, các giai đoạn nghệ thuật (Xanh lam, Hoa hồng) và thói đa tình, ""cắm sừng"" của Picasso.","HyDxRTBnwNM","neutral","Huyền Thoại Đa Tình Páp-Lô Pi-Cát-Xô","https://www.youtube.com/watch?v=HyDxRTBnwNM"
5,"1","bố tổ hát đã tai vãi lồn bộ phận sinh dục nữ","'Bố tổ' là từ lóng mạng chỉ một người có khả năng hát hoặc biểu diễn âm nhạc xuất sắc, thường được sử dụng để chỉ những nghệ sĩ có giọng hát đặc biệt. Câu này có lỗi chính tả và từ ngữ không phù hợp, không liên quan đến nội dung video.","2026-05-30T03:23:27.412585Z",5,25.678,"tiktok","Không mỉa mai","Tích cực","2026-05-30T03:23:27.412600Z","Video tổng hợp các phân cảnh biểu diễn ca khúc “Stay” của Justin Bieber và The Kid LAROI tại lễ hội âm nhạc Coachella. Hình ảnh chủ yếu là sân khấu lớn, ánh sáng mạnh, đám đông khán giả và hai nghệ sĩ di chuyển, hát, nhảy, tương tác với khán giả. Video sử dụng định dạng chia đôi màn hình để hiển thị nhiều góc quay của buổi diễn. Text overlay viết hoa toàn bộ, nhấn mạnh việc cộng đồng mạng dành sự yêu thích đặc biệt cho hai nghệ sĩ và ca khúc này. Voiceover tiếng Việt có giọng đọc hào hứng, lặp lại nội dung chính của text overlay; âm thanh nền là phần trình diễn live của bài hát “Stay”.","Sân khấu Coachella đông khán giả; hai nghệ sĩ biểu diễn ca khúc “Stay”; split-screen nhiều góc quay; voiceover tiếng Việt khen màn trình diễn; nhạc nền là âm thanh live tiếng Anh.","7628089059503590677","positive","Chịu lên sân khấu hát gì cũng được ...","https://www.tiktok.com/@odayconhacbymznews/video/7628089059503590677?is_from_webapp=1"
50,"1","sticker thông điệp ý nghĩa quá","'Sticker thông điệp' là cách gọi một đoạn video hoặc hình ảnh được chia sẻ rộng rãi trên mạng xã hội với nội dung mang tính cảm xúc hoặc truyền tải một thông điệp nhất định. Trong ngữ cảnh này, dòng chữ 'Khi tôi và con bạn thân đi đóng quảng cáo' tạo nên một tình huống gần gũi với cuộc sống thường ngày, khiến cảnh quay trở nên hài hước và dễ dàng nhận diện.","2026-05-30T09:51:03.949780Z",6,64.167,"tiktok","Có mỉa mai","Tích cực","2026-05-30T09:51:03.949795Z","Video là một đoạn cắt từ chương trình thực tế, ghi lại cảnh hai người mẫu Hương Ly và Cao Ngân thực hiện phần quay quảng cáo trong bối cảnh studio phông trắng. Hai nhân vật đứng cạnh nhau, cố gắng đọc lời giới thiệu cho thương hiệu thời trang nhưng nhiều lần nói vấp, dùng sai ý và có cử chỉ khá gượng gạo. Máy quay thường zoom cận vào khuôn mặt lúng túng của hai người mẫu và phản ứng quan sát của giám khảo. Trên màn hình có dòng chữ “Khi tôi và con bạn thân đi đóng quảng cáo”, khiến tình huống được đặt trong bối cảnh đời thường, gần với trải nghiệm của người xem. Âm thanh chủ yếu là lời thoại trực tiếp, với giọng nói ngập ngừng và các khoảng lặng làm nổi bật sự khó xử của cảnh quay.","Bối cảnh studio tối giản; hai người mẫu đọc lời quảng cáo không trôi chảy; giám khảo có phản ứng ngơ ngác; text overlay liên hệ tình huống với trải nghiệm đi quay quảng cáo cùng bạn thân.","7619505128890010901","neutral","Ai ép 2 đứa ?? 🙂","https://www.tiktok.com/@vsface/video/7619505128890010901?is_from_webapp=1"
6,"1","ở Việt Nam thì sao ta chắc không tồn tại nổi","Câu nói này so sánh tình hình kinh doanh của quán lẩu Mạc Thị với thực tế kinh doanh tại Việt Nam. Ở Việt Nam, nhiều quán ăn nổi tiếng cũng thu hút đông khách, nhưng quy mô và sự hỗ trợ từ chính quyền địa phương (như cải thiện đường sá) thường ít phổ biến hơn so với Trung Quốc.","2026-05-30T03:26:43.243341Z",7,120.77,"tiktok","Không mỉa mai","Tiêu cực","2026-05-30T03:26:43.243359Z","Video kể lại câu chuyện về quán lẩu gà Mạc Thị ở Phật Sơn, Quảng Đông, Trung Quốc bỗng trở nên nổi tiếng và thu hút rất đông khách. Ông chủ quán nhiều lần khuyên khách đừng đến vì quán quá đông, nhưng lượng khách vẫn tăng khiến cả gia đình phải tham gia hỗ trợ phục vụ. Video cho thấy cảnh khách xếp hàng, bãi xe đông, con cái của chủ quán chặt gà, ghi đơn và chính quyền địa phương hỗ trợ cải thiện đường sá để đón khách du lịch. Giọng đọc tiếng Việt kể lại câu chuyện với nhịp nhanh, nhấn mạnh việc một quán ăn bình dân bỗng trở thành điểm đến nổi bật. Text overlay dùng chữ in hoa để nêu các chi tiết như “không ngon đâu đừng đến” và “con trai lái Land Rover vẫn phải về chặt gà”.","Quán ăn bình dân ở Quảng Đông đông khách bất ngờ; ông chủ khuyên khách không đến nhưng quán vẫn quá tải; gia đình chủ quán tham gia phục vụ; chính quyền hỗ trợ làm đường và điều phối du lịch địa phương.","7628192889352293653","neutral","Khổ chú","https://www.tiktok.com/@beatnow275/video/7628192889352293653?is_from_webapp=1"
7,"1","em 2k điển hình là 2k7 1 trong những mxh em thấy chán nhất đó chính là tiktok tok đi ngược với số đông em thấy nó cực kì nhàm chán dù đã thử chơi và lướt nhưng mà thật sự nó chả thú vị bởi những thứ vô nghĩa xí trong đó ví dụ của anh đã nói lên suy nghĩ trong đầu em cái xấu thì viral drama nhảy nhót thiếu trừng mực cứ như đi gọi vốn còn cái đẹp thì chìm nghỉm mãi chả được chú ý nhưng 1 mặt tốt em nhận thấy trên tiktok tok là những live môn học nó cực kì hữu ích và đáng để trải nghiệm tổng quan em thấy cũng nên tiết chế lại vì chơi tiktok tok chả tốt lại còn sinh thêm cái tật lười vì chỉ xem những video ngắn làm cho con người ta có xu hướng muốn làm việc nhanh gọn lẹ tốc hành như cách mà mấy cái video trên tiktok tok vận hành và nó đặc biệt chả mấy tốt đẹp khi mxh này khó quản lý của anh China thì đó chính là lý do vì sao lại có 2 app douyin và tiktok tok 2 app này khác nhau chính vì ở chỗ quản lý và vận hành nó ai ném đá gạch gì em nhận hết","'2k7' là cách gọi những người sinh năm 2007. 'TikTok' và 'Douyin' là hai phiên bản của cùng một ứng dụng mạng xã hội video ngắn, trong đó Douyin là phiên bản dành cho thị trường Trung Quốc, còn TikTok là phiên bản quốc tế. 'Viral' là thuật ngữ chỉ nội dung lan truyền nhanh chóng trên mạng xã hội.","2026-05-30T06:50:43.196543Z",8,12239.622,"youtube","Không mỉa mai","Tiêu cực","2026-05-30T06:50:43.196563Z","Góc nhìn chiêm nghiệm sâu sắc và thẳng thắn của vlogger đời đầu JVevermind về thực trạng đen tối, sự độc hại của mạng xã hội hiện đại, nơi con người bị thao túng bởi thế giới ảo, drama dàn dựng và các hệ thống điều hướng dư luận. Đặt vấn đề về sự thay đổi tiêu cực của mạng xã hội: từ một không gian kết nối bạn bè thuần túy trở thành nơi sản sinh văn hóa 'phông bạt', sống ảo và cuồng si danh vọng giả tạo. Chỉ trích trực diện các vụ tạo scandal, dàn dựng drama tinh vi của những người nổi tiếng (như Phạm Thoại, Thủy Tiên) nhằm thâu tóm sự chú ý của đám đông để trục lợi truyền thông. Phân tích cơ chế kỹ thuật đứng sau hậu trường mạng xã hội, giải thích cách các hệ thống bot AI, tài khoản ảo (clone) và đội ngũ seeding được dùng để kích động tranh cãi, định hướng dư luận và thao túng tâm lý người dùng. Đưa ra lời khuyên mang tính triết lý về cách bảo vệ sức khỏe tinh thần, học cách 'ngừng quan tâm' trước những thị phi vô bổ để tìm lại giá trị sống đích thực ngoài đời thực.","Chỉ trích các vụ drama của Phạm Thoại, Thủy Tiên; giải thích cách bot AI được dùng để kích động tranh luận và định hướng dư luận.","foeGbXU6pGI","negative","Mạng Xã Hội không còn vui nữa","https://www.youtube.com/watch?v=foeGbXU6pGI"
8,"1","trend vẽ mắt với amongus nữa không biết ở Việt Nam có nổi không chứ twitter nước ngoài khá nổi","'Among Us' là một trò chơi điện tử mô phỏng về việc tìm kẻ gian trong nhóm, trong đó một số nhân vật có đôi mắt to, tròn và nổi bật. Trend vẽ mắt theo phong cách này đã trở nên phổ biến trên Twitter và TikTok, đặc biệt là trong cộng đồng nghệ thuật và game thủ. Tại Việt Nam, trend này cũng có sự lan truyền nhưng chưa đạt mức phổ biến như ở nước ngoài.","2026-05-30T09:17:20.662873Z",9,13.743,"youtube","Không mỉa mai","Trung lập","2026-05-30T09:17:20.662890Z","Video bình luận mang giọng điệu mỉa mai và hài hước của kênh Vui Vẻ trong 14 phút, tổng hợp và phê phán gay gắt các trào lưu vô tri, nhảm nhí, đần độn và có phần độc hại đang lan truyền mạnh mẽ trên mạng xã hội TikTok và YouTube hiện nay. Liệt kê và châm biếm các trào lưu vô tri nổi bật như trend cố tình 'gửi nhầm ảnh nhạy cảm' rồi xem đó là trò đùa, các thử thách nguy hiểm để câu like và sự thịnh hành của hệ tư tưởng Alpha male lỗi thời. Phân tích sự biến tướng và thương mại hóa quá đà của các trào lưu 'chữa lành' (Healing) giả tạo, đánh vào tâm lý yếu đuối của người trẻ nhằm mục đích trục lợi tài chính. Bóc trần hiện tượng vô đạo đức khi vụ việc đau lòng của chàng trai 'Mèo Béo' bị hàng loạt TikToker, YouTuber lợi dụng cắt ghép, dựng content giả câu view bất chấp nỗi đau của người trong cuộc. Đưa ra lời cảnh báo nghiêm túc về tác hại lâu dài của các nội dung bẩn, vô bổ (nhux Skibidi Toilet) đến tư duy nhận thức của trẻ em, kêu gọi người dùng tỉnh táo thanh lọc không gian mạng.","Phân tích sự biến tướng của trào lưu ""Healing"", vụ việc ""Mèo Béo"" bị lợi dụng câu view, sự ảnh hưởng xấu của content ""bẩn"" tới trẻ em.","fnTfJ130mjw","negative","Tất cả những trend đần độn nhất trên mạng xã hội trong 14 phút","https://www.youtube.com/watch?v=fnTfJ130mjw"
9,"1","sticker tặng à","'Sticker' là hình ảnh động hoặc tĩnh được sử dụng trong các ứng dụng nhắn tin để thể hiện cảm xúc hoặc thông điệp. Trong video dạng Q&A, creator có thể tặng sticker cho fan như một hình thức tương tác.","2026-05-30T09:18:44.494515Z",10,83.464,"tiktok","Không mỉa mai","Trung lập","2026-05-30T09:18:44.494590Z","Video thuộc dạng Q&A/talking head, trong đó một nam creator trẻ trả lời các bình luận trêu đùa của fan bằng các câu phản hồi ngắn, thẳng và mang tính bông đùa. Nhân vật quay cận mặt trong phòng riêng, phía sau có thú bông và sử dụng hiệu ứng nhiễu TV để chuyển giữa các câu hỏi. Trên màn hình hiển thị các câu hỏi hoặc nhận xét của fan, kèm câu trả lời của creator, trong đó có nhiều teencode tiếng Việt như “a”, “v”, “e”, “dc”. Creator thường cười, nháy mắt, vuốt tóc hoặc tạo dáng theo trend trong khi trả lời. Âm thanh gồm lời nói trực tiếp bằng tiếng Việt và nhạc nền lofi nhẹ, tạo không khí tương tác thân mật giữa creator và người xem.","Dạng Q&A phản hồi bình luận fan; quay cận mặt trong phòng riêng; hiệu ứng nhiễu TV khi chuyển câu hỏi; nhiều teencode tiếng Việt; nhạc nền lofi nhẹ.","7628678480326135060","neutral","11h đêm thoại sảng quá sảng :))","https://www.tiktok.com/@bijouoday/video/7628678480326135060?is_from_webapp=1"
10,"1","bài gì mà dở quá","'Dở quá' là cách nói ngắn gọn để chỉ việc không hài lòng với chất lượng bài hát hoặc màn trình diễn. 'Giấy ghi chú tâm nguyện' là ca khúc được nhóm Lý Tiểu Nhiễm, Đường Nghệ Hân và Vương Mông biểu diễn trong vòng Công diễn 1 của chương trình.","2026-05-30T09:18:52.444578Z",11,7.542,"youtube","Không mỉa mai","Tiêu cực","2026-05-30T09:18:52.444593Z","Màn trình diễn ca khúc 'Giấy ghi chú tâm nguyện' ngọt ngào và trẻ trung của nhóm nghệ sĩ Lý Tiểu Nhiễm, Đường Nghệ Hân và Vương Mông tại vòng Công diễn 1 của chương trình thực tế 'Chị Đẹp Đạp Gió 2026'. Giới thiệu các thành viên trong đội hình (Lý Tiểu Nhiễm, Đường Nghệ Hân, Vương Mông), ý tưởng dàn dựng sân khấu lấy cảm hứng thanh xuân và quá trình luyện tập vất vả trước giờ G. Mở đầu tiết mục với giai điệu nhẹ nhàng, các nghệ sĩ xuất hiện rạng rỡ trong trang phục dễ thương, mang lại không khí trong trẻo và hoài niệm cho khán giả. Đoạn cao trào của ca khúc phô diễn sự kết hợp giọng hát hòa quyện, vũ đạo đồng đều và các khoảnh khắc tương tác ngọt ngào giữa các tỷ tỷ trên sân khấu. Phần kết thúc tiết mục trong tiếng reo hò cổ vũ của khán giả tại trường quay, nhận xét từ ban giám khảo và màn reaction đầy hào hứng của các nghệ sĩ khác từ phòng chờ.","Sự kết hợp giữa các nghệ sĩ Lý Tiểu Nhiễm, Đường Nghệ Hân; phong cách biểu diễn trẻ trung, mang tính giải trí thuần túy.","yM8XxAwUM_M","positive","GIẤY GHI CHÚ TÂM NGUYỆN","https://www.youtube.com/watch?v=yM8XxAwUM_M"
11,"1","năm nay về nhì nữa thì xứng đáng có cúp vàng :party_popper:","':party_popper:' là biểu tượng emoji dùng để thể hiện niềm vui, ăn mừng hoặc chúc mừng. Cúp vàng thường chỉ giải vô địch cao nhất trong một mùa giải bóng đá, như Premier League ở Anh, nơi Arsenal là một câu lạc bộ tham gia.","2026-05-30T09:20:20.822278Z",12,88.115,"youtube","Không mỉa mai","Tích cực","2026-05-30T09:20:20.822294Z","Diễn biến toàn bộ trận đấu bóng đá kịch tính giữa Arsenal và Bournemouth. Arsenal (đội cửa trên) được kỳ vọng sẽ giành chiến thắng dễ dàng nhưng đã vấp phải sự kháng cự mãnh liệt và suýt bị cầm hòa hoặc thua, gây tâm lý căng thẳng tột độ cho người hâm mộ trước khi có màn lội ngược dòng may mắn. Arsenal kiểm soát hoàn toàn thế trận trong hiệp 1, dồn ép đối thủ và nhanh chóng có bàn thắng vươn lên dẫn trước nhờ sự áp đảo của hàng công. Bournemouth bất ngờ vùng lên mạnh mẽ vào đầu hiệp 2, khai thác các lỗ hổng phòng ngự bất cẩn của Arsenal để ghi bàn gỡ hòa khiến thế trận đảo chiều. Trận đấu được đẩy lên đỉnh điểm với một pha thổi penalty đầy tranh cãi từ trọng tài, tạo ra làn sóng phản đối dữ dội từ ban huấn luyện và cầu thủ Arsenal. Những phút bù giờ cuối cùng đầy nghẹt thở, Arsenal ghi được bàn thắng quý như vàng để ấn định chiến thắng sát nút đầy chật vật, giải tỏa áp lực nhưng để lại nhiều hoài nghi về phong độ phòng ngự.","Những sai lầm phòng ngự của Arsenal, pha penalty gây tranh cãi và cú lội ngược dòng đầy may mắn/khó khăn của đội chủ nhà.","5Augh75jX6g","negative","HIGHLIGHTS: ARSENAL - BOURNEMOUTH","https://www.youtube.com/watch?v=5Augh75jX6g"
